variant,converted,length_of_stay,revenue
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,1,79.70
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,2,127.56
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,1,66.49
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,4,315.22
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,1,45.66
A,FALSE,0,0.00
A,TRUE,1,67.23
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,4,366.20
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,FALSE,0,0.00
A,TRUE,4,347.87
A,FALSE,0,0.00
